Current Budget - Year to Date

1/1/2018 through 11/17/2018 Using Budget

	Category	 Actual	January 2018 Budget	 Difference		 Actual	February 2018 Budget	 Difference		 Actual	March 2018 Budget	 Difference		 Actual	April 2018 Budget	 Difference		 Actual	May 2018 Budget	 Difference		 Actual	June 2018 Budget	 Difference		 Actual	July 2018 Budget	 Difference		 Actual	August 2018 Budget	 Difference		 Actual	September 2018 Budget	 Difference		 Actual	October 2018 Budget	 Difference		 Actual	November 2018 Budget	 Difference		1/1/2018 Actual	- Budget	11/17/2018 Difference
	Auto & Transport:Car Wash	0.00	0.00	0.00		23.00	14.00	-9.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	15.00	15.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		23.00	29.00	6.00
	Auto & Transport:Gas & Fuel	84.17	160.00	75.83		64.63	160.00	95.37		113.03	160.00	46.97		39.38	160.00	120.62		100.09	160.00	59.91		127.55	160.00	32.45		184.24	160.00	-24.24		193.42	160.00	-33.42		125.38	160.00	34.62		44.88	160.00	115.12		46.00	90.67	44.67		1,122.77	1,690.67	567.90
	Auto & Transport:OnStar	35.78	35.77	-0.01		35.78	35.77	-0.01		35.78	35.77	-0.01		35.76	35.77	0.01		35.76	35.77	0.01		35.76	35.77	0.01		35.76	35.77	0.01		35.76	35.77	0.01		35.76	35.77	0.01		35.81	35.77	-0.04		0.00	20.27	20.27		357.71	377.97	20.26
	Auto & Transport:Parking	30.95	44.00	13.05		10.00	44.00	35.00		15.00	44.00	29.00		22.00	44.00	22.00		7.00	44.00	37.00		20.00	44.00	24.00		37.00	44.00	7.00		83.00	44.00	-39.00		31.00	44.00	13.00		0.00	44.00	44.00		23.00	24.93	1.93		277.95	464.93	186.98
	Auto & Transport:Public Transportation	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		9.00	0.00	-9.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		9.00	0.00	-9.00
	Auto & Transport:Service & Parts	0.00	118.35	118.35		0.00	200.00	200.00		73.27	0.00	-73.27		0.00	82.78	82.78		0.00	80.00	80.00		0.00	100.00	100.00		0.00	50.00	50.00		2,236.57	185.55	-2,051.02		0.00	200.00	200.00		0.00	0.00	0.00		0.00	0.00	0.00		2,309.84	1,016.68	-1,293.16
	Bills & Utilities	825.39	1,710.95	885.56		825.89	1,710.95	885.06		839.25	1,709.96	870.71		824.93	828.17	3.24		828.34	827.18	-1.16		827.88	826.17	-1.71		757.26	827.96	70.70		914.32	840.66	-73.66		862.42	861.72	-0.70		841.63	854.53	12.90		913.00	968.99	55.99		9,260.31	11,967.24	2,706.93
	Bills & Utilities:Cable and Internet	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	8.00	8.00		8.25	0.00	-8.25		8.25	8.00	-0.25
	Bills & Utilities:Cell Phone	70.67	70.67	0.00		70.70	70.67	-0.03		70.70	70.67	-0.03		71.37	70.67	-0.70		71.31	70.67	-0.64		71.29	70.67	-0.62		0.00	70.67	70.67		144.22	70.67	-73.55		84.87	84.87	0.00		84.87	70.67	-14.20		169.86	40.05	-129.81		909.86	760.95	-148.91
	Bills & Utilities:Electricity	17.83	20.29	2.46		16.37	20.29	3.92		18.89	20.29	1.40		16.68	20.29	3.61		16.97	20.29	3.32		20.72	20.29	-0.43		20.89	20.29	-0.60		20.73	20.29	-0.44		21.32	20.29	-1.03		20.34	20.29	-0.05		0.00	11.50	11.50		190.74	214.40	23.66
	Bills & Utilities:Internet	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00
	Bills & Utilities:Iphone Cloud Service	0.99	0.99	0.00		0.99	0.99	0.00		0.99	0.00	-0.99		0.99	0.99	0.00		0.99	0.00	-0.99		0.99	0.00	-0.99		0.99	0.00	-0.99		0.99	0.99	0.00		0.99	0.99	0.00		0.99	0.00	-0.99		0.00	0.00	0.00		9.90	4.95	-4.95
	Bills & Utilities:Rent	717.23	1,600.00	882.77		719.16	1,600.00	880.84		730.00	1,600.00	870.00		717.22	717.22	0.00		720.40	717.22	-3.18		716.21	716.21	0.00		716.71	718.00	1.29		729.71	729.71	0.00		736.57	736.57	0.00		735.43	736.57	1.14		734.89	906.67	171.78		7,973.53	10,778.17	2,804.64
	Bills & Utilities:Renters Insurance	18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		18.67	19.00	0.33		0.00	19.00	19.00		0.00	10.77	10.77		168.03	200.77	32.74
	Clothes Cleaning	0.00	0.00	0.00		0.00	20.00	20.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		53.00	0.00	-53.00		0.00	0.00	0.00		0.00	0.00	0.00		53.00	20.00	-33.00
	Clothes Cleaning:Dry Cleaning	0.00	0.00	0.00		0.00	20.00	20.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		53.00	0.00	-53.00		0.00	0.00	0.00		0.00	0.00	0.00		53.00	20.00	-33.00
	Dads Tickets	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		5,639.80	5,639.80	0.00		-766.80	0.00	766.80		-3,485.40	0.00	3,485.40		2,300.05	0.00	-2,300.05		-3,248.40	3,195.89	6,444.29		439.25	8,835.69	8,396.44
	SavingsCategories:Date	146.97	329.00	182.03		296.15	329.00	32.85		264.06	329.00	64.94		311.75	329.00	17.25		320.83	329.00	8.17		78.55	329.00	250.45		320.00	329.00	9.00		58.46	329.00	270.54		468.53	329.00	-139.53		36.41	329.00	292.59		37.10	186.43	149.33		2,338.81	3,476.43	1,137.62
	Disability Insurance SPE	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00
	Date:Entertainment	10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		0.00	6.23	6.23		109.90	116.13	6.23
	Entertainment:Netflix	10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		10.99	10.99	0.00		0.00	6.23	6.23		109.90	116.13	6.23
	Food & Dining	542.00	380.00	-162.00		224.80	380.00	155.20		577.81	380.00	-197.81		510.73	380.00	-130.73		454.27	380.00	-74.27		492.48	480.00	-12.48		374.96	380.00	5.04		565.98	380.00	-185.98		343.49	380.00	36.51		490.93	480.00	-10.93		278.86	215.34	-63.52		4,856.31	4,215.34	-640.97
	SavingsCategories:Groceries	425.10	280.00	-145.10		192.40	280.00	87.60		184.69	280.00	95.31		242.07	280.00	37.93		341.80	280.00	-61.80		275.35	280.00	4.65		98.63	280.00	181.37		280.36	280.00	-0.36		118.81	280.00	161.19		216.23	280.00	63.77		46.99	158.67	111.68		2,422.43	2,958.67	536.24
	Food & Dining:Restaurants	116.90	100.00	-16.90		32.40	100.00	67.60		393.12	100.00	-293.12		268.66	100.00	-168.66		112.47	100.00	-12.47		217.13	200.00	-17.13		276.33	100.00	-176.33		285.62	100.00	-185.62		224.68	100.00	-124.68		274.70	200.00	-74.70		231.87	56.67	-175.20		2,433.88	1,256.67	-1,177.21
	For yourself Savings	0.00	0.00	0.00		600.00	600.00	0.00		1,000.00	0.00	-1,000.00		1,016.84	1,016.84	0.00		936.05	936.05	0.00		900.00	900.00	0.00		900.00	900.00	0.00		900.00	900.00	0.00		900.00	900.00	0.00		0.00	387.04	387.04		0.00	0.00	0.00		7,152.89	6,539.93	-612.96
	Gifts & Donations	20.00	40.00	20.00		0.00	40.00	40.00		0.00	40.00	40.00		0.00	40.00	40.00		30.00	40.00	10.00		0.00	40.00	40.00		20.00	40.00	20.00		20.00	40.00	20.00		0.00	40.00	40.00		20.00	40.00	20.00		0.00	22.67	22.67		110.00	422.67	312.67
	Gifts & Donations:Charity	20.00	40.00	20.00		0.00	40.00	40.00		0.00	40.00	40.00		0.00	40.00	40.00		30.00	40.00	10.00		0.00	40.00	40.00		20.00	40.00	20.00		20.00	40.00	20.00		0.00	40.00	40.00		20.00	40.00	20.00		0.00	22.67	22.67		110.00	422.67	312.67
	Gifts For Laura	0.00	30.00	30.00		0.00	30.00	30.00		0.00	0.00	0.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		195.87	0.00	-195.87		195.87	270.00	74.13
	Gifts For Others	142.19	80.00	-62.19		0.00	80.00	80.00		49.98	80.00	30.02		5.00	100.00	95.00		403.11	100.00	-303.11		96.27	100.00	3.73		-35.97	100.00	135.97		0.00	200.00	200.00		155.71	200.00	44.29		-75.00	200.00	275.00		0.00	45.33	45.33		741.29	1,285.33	544.04
	Hair cut	0.00	10.00	10.00		0.00	10.00	10.00		32.00	0.00	-32.00		0.00	30.00	30.00		0.00	15.00	15.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		29.50	0.00	-29.50		0.00	0.00	0.00		0.00	0.00	0.00		61.50	65.00	3.50
	Health & Fitness	0.00	95.06	95.06		0.00	95.06	95.06		25.00	95.06	70.06		67.01	95.06	28.05		86.55	95.06	8.51		0.00	95.06	95.06		0.00	95.06	95.06		0.00	95.06	95.06		0.00	95.06	95.06		0.00	95.06	95.06		0.00	53.87	53.87		178.56	1,004.47	825.91
	Health & Fitness:Dentist	0.00	15.06	15.06		0.00	15.06	15.06		0.00	15.06	15.06		0.00	15.06	15.06		86.55	15.06	-71.49		0.00	15.06	15.06		0.00	15.06	15.06		0.00	15.06	15.06		0.00	15.06	15.06		0.00	15.06	15.06		0.00	8.53	8.53		86.55	159.13	72.58
	Health & Fitness:Health Insurance	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00
	Health & Fitness:Health Just in Case	0.00	70.00	70.00		0.00	70.00	70.00		25.00	70.00	45.00		27.01	70.00	42.99		0.00	70.00	70.00		0.00	70.00	70.00		0.00	70.00	70.00		0.00	70.00	70.00		0.00	70.00	70.00		0.00	70.00	70.00		0.00	39.67	39.67		52.01	739.67	687.66
	Health & Fitness:Vision	0.00	10.00	10.00		0.00	10.00	10.00		0.00	10.00	10.00		40.00	10.00	-30.00		0.00	10.00	10.00		0.00	10.00	10.00		0.00	10.00	10.00		0.00	10.00	10.00		0.00	10.00	10.00		0.00	10.00	10.00		0.00	5.67	5.67		40.00	105.67	65.67
	SavingsCategories:Investments	1,500.00	600.00	-900.00		600.00	600.00	0.00		450.00	550.00	100.00		450.00	600.00	150.00		450.00	550.00	100.00		800.00	571.15	-228.85		450.00	600.00	150.00		450.00	600.00	150.00		875.00	600.00	-275.00		450.00	600.00	150.00		0.00	311.67	311.67		6,475.00	6,182.82	-292.18
	Investments:IRA Contribution (DWM LPL)	450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		450.00	450.00	0.00		0.00	255.00	255.00		4,500.00	4,755.00	255.00
	Investments:Personal	1,050.00	150.00	-900.00		150.00	150.00	0.00		0.00	100.00	100.00		0.00	150.00	150.00		0.00	100.00	100.00		350.00	121.15	-228.85		0.00	150.00	150.00		0.00	150.00	150.00		425.00	150.00	-275.00		0.00	150.00	150.00		0.00	56.67	56.67		1,975.00	1,427.82	-547.18
	LifeLock	29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		29.99	29.99	0.00		0.00	16.99	16.99		299.90	316.89	16.99
	Office Supplies Yourself	0.00	60.00	60.00		0.00	60.00	60.00		0.00	55.00	55.00		93.66	75.00	-18.66		164.22	55.00	-109.22		44.98	100.00	55.02		0.00	26.00	26.00		193.91	50.00	-143.91		61.11	79.05	17.94		-82.00	55.00	137.00		11.92	31.17	19.25		487.80	646.22	158.42
	SavingsCategories:Personal Care	49.00	70.00	21.00		56.00	100.00	44.00		190.42	55.58	-134.84		-182.81	75.00	257.81		14.99	55.58	40.59		194.65	100.00	-94.65		112.35	27.84	-84.51		354.58	100.00	-254.58		33.15	79.00	45.85		89.56	55.00	-34.56		28.00	31.50	3.50		939.89	749.50	-190.39
	Research	0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	4.53	4.53		0.00	84.53	84.53
	Research:SEG membership	0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	8.00	8.00		0.00	4.53	4.53		0.00	84.53	84.53
	Shopping	0.00	30.00	30.00		0.00	30.00	30.00		0.00	0.00	0.00		0.00	30.00	30.00		0.00	30.00	30.00		21.36	30.00	8.64		0.00	15.00	15.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	0.00	0.00		21.36	255.00	233.64
	Shopping:Clothing	0.00	30.00	30.00		0.00	30.00	30.00		0.00	0.00	0.00		0.00	30.00	30.00		0.00	30.00	30.00		21.36	30.00	8.64		0.00	15.00	15.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	30.00	30.00		0.00	0.00	0.00		21.36	255.00	233.64
	Tax	595.00	0.00	-595.00		0.00	0.00	0.00		-2,082.00	0.00	2,082.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		-1,487.00	0.00	1,487.00
	SavingsCategories:Tickets	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		549.90	0.00	-549.90		325.80	0.00	-325.80		-369.00	0.00	369.00		-387.90	0.00	387.90		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		118.80	0.00	-118.80
	SavingsCategories:Vacation	1,910.10	190.00	-1,720.10		264.62	288.79	24.17		609.48	230.00	-379.48		245.69	200.00	-45.69		892.41	230.00	-662.41		642.48	400.00	-242.48		-289.79	200.00	489.79		273.22	180.00	-93.22		113.00	275.00	162.00		712.11	275.00	-437.11		39.38	73.67	34.29		5,412.70	2,542.46	-2,870.24

	Net Difference:	-6,026.53	-4,151.11	-1,875.42		-3,144.85	-4,995.55	1,850.70		-2,338.06	-3,932.35	1,594.29		-4,134.82	-4,319.60	184.78		-5,194.40	-4,160.62	-1,033.78		-4,066.94	-4,509.13	442.19		-8,158.69	-9,668.41	1,509.72		-5,761.40	-4,383.02	-1,378.38		-746.63	-4,506.58	3,759.95		-5,284.39	-3,838.38	-1,446.01		1,675.27	-5,367.58	7,042.85		-43,181.44	-53,832.33	10,650.89
